2022-09-20 08:00:20.344 [INFO]  -  主程序启动完成...
2022-09-20 08:35:12.771 [INFO]  -  主程序关闭...
2022-09-20 11:44:31.951 [INFO]  -  主程序启动完成...
2022-09-20 11:45:07.128 [INFO]  -  用户名: user0登录成功！
2022-09-20 11:49:37.957 [INFO]  -  主程序关闭...
2022-09-20 14:06:07.840 [INFO]  -  主程序启动完成...
2022-09-20 14:06:18.771 [INFO]  -  用户名: user0登录成功！
QString::arg: Argument missing: x:362,y:290 | r:331,g:288,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:331,g:288,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:327,g:284,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:327,g:284,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:322,g:281,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:322,g:281,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:315,g:274,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:315,g:274,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:309,g:270,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:309,g:270,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:306,g:269,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:306,g:269,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:304,g:268,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:304,g:268,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:303,g:267,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:303,g:267,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:302,g:266,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:302,g:266,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:297,g:264,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:297,g:264,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:293,g:262,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:293,g:262,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:288,g:260,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:288,g:260,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:279,g:254,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:279,g:254,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:270,g:248,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:270,g:248,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:262,g:240,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:262,g:240,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:253,g:231,b:0, 0
